,ID,Baby,Books,CDs,Cameras,Children.s,Computers,Consumer.Electronics,Crafts,DVDs,Garden,Health.and.Beauty,Men.s.Clothing,Music,Pet.Supplies,Sporting.Goods,Toys,Video.Games,Women.s.Clothing,variance
1,Original,249.69,249.27,249.15,249.275,249.77,250.15,249.74,249.84,250.53,250.13,250.5,250.78,249.67,249.52,250.54,250.15,249.45,249.54,0
2,S-5-1,249.615,249.89,249.115,249.68,250.075,250.22,249.865,249.775,250.5025,249.935,250.51,250.325,249.925,249.465,250.5725,249.78,249.61,249.9,0.0711201389
3,S-5-2,249.685,249.58,250.155,249.85,250.17,250.695,249.775,249.485,250.655,250.595,249.49,250.59,248.9925,249.81,250.59,250.4275,249.965,250.345,0.2691645833
4,S-5-3,249.4475,251.055,248.69,249.1625,250.44,249.635,250.29,249.9825,250.5875,251.01,250.76,249.3,249.74,248.6325,250.82,250.225,248.065,249.655,0.5749975694
5,S-5-4,249.9,248.705,251.63,249.575,250.625,251.025,248.745,249.74,250.17,249.94,249.49,250.995,249.555,250.885,250.35,251.575,249.51,250.24,0.8205111111
6,S-5-5,249.51,249.845,249.5,249.855,249.96,249.98,249.905,249.535,250.33,250.395,250.32,250.32,249.96,249.7525,250.5825,249.82,249.8,249.66,0.0970645833
7,S-10-1,249.7,249.24,249.2,249.27,249.77,250.06,249.72,249.83,250.615,249.925,250.59,250.93,249.64,249.64,250.73,250.07,249.45,249.52,0.0083430556
8,S-10-2,250.16,248.76,249.89,249.42,249.61,249.91,248.67,249.42,250.82,250.76,249.88,250.825,248.87,250.01,250.14,250.08,250.14,250.05,0.2834861111
9,S-10-3,249.48,249.99,248.8,248.98,249.77,249.45,250.44,249.47,250.79,250.5,251.255,249.92,249.22,248.37,251.17,250.4,247.83,250.095,0.4622152778
10,S-10-4,250.925,248.83,251.38,249.25,250.02,250.62,248.01,249.2,249.45,249.98,249.8,251.79,249.58,251.2,250.29,251.67,249.5,249.94,1.0246194444
11,S-10-5,249.77,249.16,249.4,249.07,249.28,251.1,249.485,250.18,250.52,250.22,250.36,250.55,249.83,249.61,250.07,250.18,249.2,249.76,0.1051861111
12,S-15-1,249.4,249.5425,249.065,249.37,249.77,250.065,250.1,249.79,250.515,250.07,250.57,250.905,249.81,249.415,250.88,249.995,249.59,249.56,0.0293628472
13,S-20-1,249.66,249.4,249.27,249.27,249.88,250.3,249.9,249.94,250.4,249.95,250.57,250.8,249.65,249.33,250.8,250.08,249.63,249.35,0.0185847222
14,S-25-1,249.5,249.335,249.135,249.64,249.945,249.945,250.21,249.83,250.58,250.065,250.6275,250.7,249.9075,249.46,250.5725,249.91,249.47,249.625,0.0346163194
15,C-5-1,249.5425,249.75625,249.19375,249.755,250.0175,250.285,250.055,250.035,250.305,250.2325,250.455,250.255,249.9525,249.4925,250.4575,249.9075,249.85375,249.6825,0.0764176215
16,C-10-1,249.5425,249.75625,249.19375,249.755,250.0175,250.285,250.055,250.035,250.305,250.2325,250.455,250.255,249.9525,249.4925,250.4575,249.9075,249.85375,249.6825,0.0764176215
17,C-15-1,249.5425,249.75625,249.19375,249.755,250.0175,250.285,250.055,250.035,250.305,250.2325,250.455,250.255,249.9525,249.4925,250.4575,249.9075,249.85375,249.6825,0.0764176215
18,C-20-1,249.5425,249.75625,249.19375,249.755,250.0175,250.285,250.055,250.035,250.305,250.2325,250.455,250.255,249.9525,249.4925,250.4575,249.9075,249.85375,249.6825,0.0764176215
19,C-25-1,249.5425,249.75625,249.19375,249.755,250.0175,250.285,250.055,250.035,250.305,250.2325,250.455,250.255,249.9525,250.4925,250.4575,249.9075,249.85375,249.6825,0.0764176215
,,,,,,,,,,,,,,,,,,,,
,Original: The one works the same as A1 v2.,,,,,,,,,,,,,,,,,,,
,S-x-y: Standalone mode with bin size x and sample rate y.,,,,,,,,,,,,,,,,,,,
,C-x-y: Cluster mode with bin size x and sample rate y.,,,,,,,,,,,,,,,,,,,
